X,Y,OBJECTID,STATUS,NAME,ACISA,ISNUM,INT_,STAGE,N7,SECT,COMMCAB,COMMLINE,SWITCH,FDRPAIR,VPAIR,TRUNK,TRNKPAIR,DIST,DISTPAIR,SUBFEED,SUBFEEDPR,CHANNUM,COMMENTS,REVNUM,CONT_TYPE,SPACE_,B,TSNUM,QUICNETID
-76.993677799154639,38.915562858222714,867,M,"9TH ST AND T ST, NE",4025,562,562,2, ,335,12-F01M,309,1,"PR(01,02)",12,100-T01,"PR(36,37)",50-D01,"PR(03,04)", , ,14, ,1,ACTUATED, , ,253-G,590
-77.02397025007771,38.915577776040934,868,M,"9TH ST AND T ST,NW",4026,1317,1317,0, ,218,12-FO1C,203,8,"PR(01,02)",12,100-T01,"PR(05,06)", , , , ,3, ,0,INTERVAL, , , ,494
-77.023957582170709,38.916997942487818,869,M,"9TH ST AND U ST AND FLORIDA AVE, NW",4027,114,114,1, ,216,12-T03,251,2,"PR(03,04)",12,012-T03,"PR(03,04)", , , , ,2, ,2,INTERVAL, , , ,338
-77.0433703758749,38.927976649767245,870,M,ADAMS MILL RD & HARVARD ST & ZOO EN,4028,1174,1174,5, ,694,12-F13D,626,1,"PR(07,08)",11,100-T13,"PR(15,16)", , ,25-F13A,"PR(15,16)",8, ,1,ACTUATED, , , ,1233
-77.044171362125283,38.929752131605078,871,M,ADAMS MILL RD & KENYON ST & IRVING,4029,1175,1175,5, ,694,12-F13D,626,2,"PR(07,08)",11,100-T13,"PR(15,16)", , ,25-F13A,"PR(15,16)",8, ,1,INTERVAL, , , ,1234
-77.043361041292002,38.92324692537975,872,M,ADAMS MILL RD AND CALVERT AND LANIE,4030,1173,1173,5, ,694,12-F13D,625,2,"PR(05,06)",11,100-T13,"PR(13,14)", , ,25-F13A,"PR(13,14)",7, ,1,INTERVAL, , , ,1232
-77.046817549864699,38.932610546227188,873,M,ADAMS MILL RD AND KLINGLE & ROSEMON,4031,1176,1176,5, ,694,12-F13D,626,3,"PR(07,08)",11,100-T13,"PR(15,16)", , ,25-F13A,"PR(15,16)",8, ,2,INTERVAL, , , ,1338
-76.991660318878601,38.844134923628772,874,M,"ALABAMA AVE AND 11TH PL & GATE #5,S",4032,1003,1003,4, ,362,12-F08Q,443,1,"PR(01,02)",12,100-T08,"PR(78,79)",50-D08M,"PR(03,04)",25-F08P,"PR(03,04)",29, ,0,INTERVAL, , , ,833
-76.972828801961754,38.851201397917364,875,M,ALABAMA AVE AND 22&23 & SUITLAND PK,4033,1004,1004,4, ,359,12-F08L,438,1,"PR(07,08)",12,100-T08,"PR(61,62)", , ,25-F08I,"PR(17,18)",24, ,0,INTERVAL, , , ,834
-76.969974320385205,38.85687358762187,876,M,"ALABAMA AVE AND 25TH ST, SE",4034,1005,1005,4, ,359,12-F08L,438,2,"PR(07,08)",12,100-T08,"PR(61,62)", , ,25-F08I,"PR(17,18)",24, ,1,INTERVAL, , , ,835
-76.964773267857495,38.860726443023886,877,M,"ALABAMA AVE AND 30TH ST, SE",4035,1006,1006,4, ,359,12-F08L,435,1,"PR(01,02)",12,100-T08,"PR(55,56)", , ,25-F08I,"PR(11,12)",21, ,0,INTERVAL, , , ,836
-76.95667611800863,38.862597362947128,878,M,ALABAMA AVE AND 36TH ST & SUITLAND,4036,1007,1007,4, ,359,12-F08L,435,2,"PR(01,02)",12,100-T08,"PR(55,56)", , ,25-F08I,"PR(11,12)",21, ,3,INTERVAL, , , ,837
-76.952217885746421,38.865264088263096,879,M,"ALABAMA AVE AND 38TH ST, SE",4037,1008,1008,4, ,358,25-F08I,431,1,"PR(03,04)",25,100-T08,"PR(40,41)", , ,25-F08I,"PR(03,04)",17, ,2,INTERVAL, , , ,838
-76.96997447143147,38.855829717981123,880,M,"ALABAMA AVE AND AINGER PL, SE",4038,1009,1009,4, ,459,12-F08L,438,3,"PR(07,08)",12,100-T08,"PR(61,62)", , ,25-F08I,"PR(17,18)",24, ,1,INTERVAL, , , ,839
-76.959001764021792,38.861930669723414,881,M,"ALABAMA AVE AND BRANCH AVE, SE",4039,1010,1010,4, ,359,12-F08L,435,3,"PR(01,02)",12,100-T08,"PR(55,56)", , ,25-F08I,"PR(11,12)",21, ,1,INTERVAL, , , ,840
-76.985094787502533,38.845539677584249,882,M,"ALABAMA AVE AND CONGRESS ST, SE",4040,1011,1011,4, ,362,12-F08Q,443,2,"PR(01,02)",12,100-T08,"PR(78,79)",50-D08M,"PR(03,04)",25-F08P,"PR(03,04)",29, ,0,INTERVAL, , , ,841
-76.966911934114648,38.859924553306229,883,M,"ALABAMA AVE AND GOOD HOPE RD, SE",4041,1012,1012,4, ,359,12-F08L,435,4,"PR(01,02)",12,100-T08,"PR(55,56)", , ,25-F08I,"PR(11,12)",21, ,0,INTERVAL, , , ,842
-76.969978292946323,38.853043771455745,884,M,ALABAMA AVE AND IRVING ST & JASPER,4042,1013,1013,4, ,359,12-F08L,438,4,"PR(07,08)",12,100-T08,"PR(61,62)", , ,25-F08I,"PR(17,18)",24, ,0,INTERVAL, , , ,843
-76.94352353160167,38.870780742067936,885,M,"ALABAMA AVE AND MASSACHUSETTS AVE,",4043,1014,1014,4, ,357,12-F08K,434,1,"PR(01,02)",12,100-T08,"PR(53,54)", , ,25-F08I,"PR(09,10)",20, ,0,INTERVAL, , , ,844
-76.968197010396949,38.858914003060598,886,M,"ALABAMA AVE AND NAYLOR RD, SE",4044,1015,1015,4, ,459,12-F08L,437,1,"PR(05,06)",12,100-T08,"PR(59,60)", , ,25-F08I,"PR(15,16)",23, ,2,INTERVAL, , , ,845
-76.951325807034522,38.865602166000428,887,M,"ALABAMA AVE AND PENNSYLVANIA AVE, S",4045,1016,1016,4, ,358,25-F08I,431,2,"PR(03,04)",25,100-T08,"PR(40,41)", , ,25-F08I,"PR(03,04)",17, ,1,INTERVAL, , , ,846
-76.997678312867023,38.84315426856287,888,M,ALABAMA AVE AND RANDLE PL,4046,1017,1017,4, ,362,12-F08Q,443,3,"PR(01,02)",12,100-T08,"PR(78,79)",50-D08M,"PR(03,04)",25-F08P,"PR(03,04)",29, ,1,ACTUATED, , , ,847
-76.980310402222003,38.846910594302756,889,M,"ALABAMA AVE AND STANTON RD, SE",4047,1018,1018,4, ,362,12-F08Q,443,4,"PR(01,02)",12,100-T08,"PR(78,79)",50-D08M,"PR(03,04)",25-F08P,"PR(03,04)",29, ,2,INTERVAL, , , ,848
-76.975185610443759,38.850721538736252,890,M,ALABAMA AVE AND STANTON TER & 21ST,4048,1020,1020,4, ,359,12-F08L,438,5,"PR(07,08)",12,100-T08,"PR(61,62)", , ,25-F08I,"PR(17,18)",24, ,1,ACTUATED, , , ,850
-76.994227863115114,38.843695466592088,891,M,"ALABAMA AVE AND WHEELER RD, SE",4049,1021,1021,4, ,462,12-F08Q,443,5,"PR(01,02)",12,100-T08,"PR(78,79)",50-D08M,"PR(03,04)",25-F08P,"PR(03,04)",29, ,3,INTERVAL, , , ,851
-77.031702135180353,38.945068782410111,892,M,"ARKANSAS AVE AND ALLISON ST,NW",4050,875,875,3, ,575,12-F04F,510,3,"PR(01,02)",12,100-T04,"PR(34,35)",50-D04B,"PR(09,10)",25-FO4D,"PR(09,10)",11, ,0,INTERVAL, , ,1317,1073
-77.033942191075269,38.941877868161612,893,M,"ARKANSAS AVE AND UPSHUR ST,NW",4051,876,876,3, ,575,12-F04F,510,4,"PR(01,02)",12,100-T04,"PR(34,35)",50-D04B,"PR(09,10)",25-FO4D,"PR(09,10)",11, ,0,INTERVAL, , , ,1074
-77.005887621548894,38.831213794633001,894,M,"ATLANTIC ST AND 1ST ST, SE",4052,1022,1022,4, ,463,12-F08R,447,1,"PR(03,04)",12,100-T08,"PR(86,87)",50-D08M,"PR(11,12)",25-F08P,"PR(11,12)",33, ,0,INTERVAL, , , ,852
-77.000573173735404,38.830967290054048,895,M,"ATLANTIC ST AND 4TH ST, SE",4053,1023,1023,4, ,463,12-F08R,447,2,"PR(03,04)",12,100-T08,"PR(86,87)",50-D08M,"PR(11,12)",25-F08P,"PR(11,12)",33, ,1,INTERVAL, , , ,853
-77.003540196398745,38.830973003133778,896,M,ATLANTIC ST AND LIVINGSTON & VALLEY,4054,1024,1024,4, ,463,12-F08R,447,3,"PR(03,04)",12,100-T08,"PR(86,87)",50-D08M,"PR(11,12)",25-F08P,"PR(11,12)",33, ,0,INTERVAL, , , ,854
-76.981496712716776,38.879015439668429,897,T,"BARNEY CIRCLE, SE",4055,748,748,2, ,452,12-F02X,412,4,"PR(01,02)",12,100-T02,"PR(88,89)",50-D02B,"PR(32,33)",25-F02U,"PR(07,08)",34, ,0,INTERVAL, , ,113-S,806
